Frequency[Hz], Hx, sHx, Hy, sHy, PhaseX[rad], sPhaseX, PhaseY[rad], sPhaseY
2.600000000000000089e+00,1.024275605024360094e-03,2.627135805699184175e-06,9.843161373357453418e-05,2.537098359513362427e-06,-3.179431632590860701e+00,5.157428637268242876e-03,-6.379400406488297648e+00,5.184001137228104461e-02
2.700000000000000178e+00,1.014951456226397203e-03,2.434650930834827883e-06,1.105981835347342047e-04,2.351321490972292252e-06,-3.183943567656834617e+00,4.913439797525265794e-03,-6.365259321377972235e+00,4.354707076282358230e-02
2.799999999999999822e+00,9.895521990783535081e-04,2.264224127712739497e-06,1.263261526051459506e-04,2.186542995697082654e-06,-3.186941500694388196e+00,4.640970680590558207e-03,-6.369479619830821449e+00,3.511217420483530444e-02
2.899999999999999911e+00,9.789239325586952291e-04,2.113180460781532526e-06,1.312836820714877737e-04,2.040583232748285155e-06,-3.197399203535235657e+00,4.368712870599263109e-03,-6.464707094598245440e+00,3.147373109276550146e-02
3.000000000000000000e+00,9.711674105107578675e-04,1.973879484433894717e-06,1.460636060509267159e-04,1.906229695999137508e-06,-3.207299110915935891e+00,4.095564679215213909e-03,-6.397839221870986748e+00,2.629621142687514276e-02
3.100000000000000089e+00,9.624375426582795464e-04,1.848322970720060641e-06,1.572147461703702861e-04,1.784892165024335160e-06,-3.196548236065874349e+00,3.887882141117485809e-03,-6.434168548472969817e+00,2.299175212473826904e-02
3.200000000000000178e+00,9.431109374700931327e-04,1.734316402316308208e-06,1.751775281689644766e-04,1.674750499399157230e-06,-3.208398793624205325e+00,3.722552305956761728e-03,-6.444321059748260971e+00,1.936123663228715708e-02
3.299999999999999822e+00,9.329940837145888960e-04,1.632200627057956604e-06,1.878944052018264926e-04,1.576206254652450706e-06,-3.217781048955229650e+00,3.508480211887884861e-03,-6.420536389872831151e+00,1.682793855119787962e-02
3.399999999999999911e+00,9.138348589946785347e-04,1.536462350608033955e-06,2.093187630929155209e-04,1.483911012764312156e-06,-3.211981505462931707e+00,3.384540622251483964e-03,-6.407675694240611008e+00,1.426791526123290244e-02
3.500000000000000000e+00,9.052913580141286679e-04,1.450168604917654253e-06,2.307961705047350501e-04,1.400528632430719505e-06,-3.218332401027776513e+00,3.215455324728817062e-03,-6.398667589570462333e+00,1.218149237786811043e-02
3.600000000000000089e+00,8.879774157482413612e-04,1.370330482030467210e-06,2.588857095904888920e-04,1.323439962853708221e-06,-3.223781295941954284e+00,3.118446520527737645e-03,-6.418448413852560819e+00,1.032971032882494360e-02
3.700000000000000178e+00,8.719815730504780265e-04,1.296802099702524583e-06,2.905804980276212313e-04,1.252410912952444135e-06,-3.230272287249622565e+00,3.006445304399044983e-03,-6.401693766612376102e+00,8.712720627177325886e-03
3.799999999999999822e+00,8.559050065526439648e-04,1.230491700720575880e-06,3.271173881069077013e-04,1.188296407635604957e-06,-3.233947213905629781e+00,2.883851326285758604e-03,-6.411136264370222548e+00,7.288075865182158317e-03
3.899999999999999911e+00,8.365042967740347760e-04,1.167744558015004676e-06,3.736592576653070949e-04,1.127781509129563826e-06,-3.235952557570614729e+00,2.808422063119223912e-03,-6.414672749681940900e+00,6.071306809071552214e-03
