# Acquisizione Analog Discovery 2 - Lunga durata
# time	ch1	ch2
-8.108000000000000762e-01	6.021314976943931141e-01	2.368046506360969167e-02
-8.107000000000000872e-01	6.021314976943931141e-01	3.862120579107995028e-02
-8.105999999999999872e-01	6.058392853861986893e-01	4.235639097294750799e-02
-8.104999999999999982e-01	6.095470730780042645e-01	5.004539154271873611e-03
-8.104000000000000092e-01	6.132548607698099508e-01	4.235639097294750799e-02
-8.103000000000000203e-01	5.910081346189762774e-01	3.862120579107995028e-02
-8.102000000000000313e-01	6.021314976943931141e-01	1.994527988174212701e-02
-8.101000000000000423e-01	6.058392853861986893e-01	1.621009469987456583e-02
-8.100000000000000533e-01	5.984237100025875389e-01	3.488602060921238562e-02
-8.099000000000000643e-01	6.132548607698099508e-01	1.994527988174212701e-02
-8.098000000000000753e-01	6.058392853861986893e-01	3.115083542734482097e-02
-8.097000000000000863e-01	6.132548607698099508e-01	1.621009469987456583e-02
-8.095999999999999863e-01	5.724691961599482903e-01	3.488602060921238562e-02
-8.094999999999999973e-01	6.095470730780042645e-01	3.862120579107995028e-02
-8.094000000000000083e-01	5.984237100025875389e-01	8.739724336139436528e-03
-8.093000000000000194e-01	6.095470730780042645e-01	3.115083542734482097e-02
-8.092000000000000304e-01	6.169626484616155260e-01	8.739724336139436528e-03
-8.091000000000000414e-01	6.058392853861986893e-01	1.621009469987456583e-02
-8.090000000000000524e-01	6.095470730780042645e-01	3.115083542734482097e-02
-8.089000000000000634e-01	6.058392853861986893e-01	2.368046506360969167e-02
-8.088000000000000744e-01	6.095470730780042645e-01	3.488602060921238562e-02
-8.087000000000000854e-01	5.873003469271707022e-01	1.621009469987456583e-02
-8.085999999999999854e-01	5.984237100025875389e-01	1.247490951800700118e-02
-8.084999999999999964e-01	6.095470730780042645e-01	3.488602060921238562e-02
-8.084000000000000075e-01	6.132548607698099508e-01	3.115083542734482097e-02
-8.083000000000000185e-01	6.095470730780042645e-01	2.741565024547725632e-02
