# #Freq[Hz], #Gain_mean[a.u.], #Gain_std[a.u.], #Phase_mean[rad], #Phase_std[rad]
2.666282524517996990e+03,1.267450881915599625e+00,1.781239383275745505e-04,2.800983888411307188e+00,2.560640996650623020e-04
2.677416686888699587e+03,1.268439462557170661e+00,1.197512510116676001e-04,2.799214428921231068e+00,2.264865988264935727e-04
2.688597344546586100e+03,1.269186184661574845e+00,1.615811717582355065e-04,2.797567771400307546e+00,2.451175559472112183e-04
2.699824691651906960e+03,1.270300361795968946e+00,1.498787003145721653e-04,2.795783710966696312e+00,2.978467917927607998e-04
2.711098923175706659e+03,1.271196059198300699e+00,1.927035696211736764e-04,2.793997629042553221e+00,3.081127709335182300e-04
2.722420234903212076e+03,1.272191383638906492e+00,2.297652400571342660e-04,2.792245776391118817e+00,3.327521974905059518e-04
2.733788823437231713e+03,1.273244384181724920e+00,2.158020288777192720e-04,2.790445781871663478e+00,2.632016665685543840e-04
2.745204886201569479e+03,1.274268782817878476e+00,2.545257919485936380e-04,2.788644167496583837e+00,3.789430710254494314e-04
2.756668621444455312e+03,1.275160895112487758e+00,2.777938370131107599e-04,2.786900111110920619e+00,2.393632348465369979e-04
2.768180228241985333e+03,1.276196858744798490e+00,2.624544189584472717e-04,2.785091593264519272e+00,3.017902706669906877e-04
2.779739906501582482e+03,1.277339685518695145e+00,2.336535074696603493e-04,2.783241202250080537e+00,3.048937043916390209e-04
2.791347856965458504e+03,1.278276324865277314e+00,2.475924775991746561e-04,2.781364859596993977e+00,2.241299002603806150e-04
2.803004281214114599e+03,1.279360660716381215e+00,2.180197983890641035e-04,2.779539042202830768e+00,3.084425348373589972e-04
2.814709381669831600e+03,1.280445160802979876e+00,2.044193100904637323e-04,2.777664706079634893e+00,2.986964283353826127e-04
2.826463361600187909e+03,1.281501874243398564e+00,1.161396087789811450e-04,2.775748694229256408e+00,2.923727651952535132e-04
2.838266425121590146e+03,1.282564462278098283e+00,2.478672509447965491e-04,2.773816409438528918e+00,3.374056007278601827e-04
2.850118777202817455e+03,1.283748293488791159e+00,1.803564479667986171e-04,2.771859276868120503e+00,1.910393888351913654e-04
2.862020623668578992e+03,1.284640261806757833e+00,2.868153377537156182e-04,2.770032205649754609e+00,3.385563831759319585e-04
2.873972171203092330e+03,1.285818375615372711e+00,1.819742003861349886e-04,2.768102042330336410e+00,2.202193579933199249e-04
2.885973627353670508e+03,1.286921739686286648e+00,1.924264763030759365e-04,2.766140301529703471e+00,2.519264708985145449e-04
2.898025200534319538e+03,1.288059461548165974e+00,2.351856741708823742e-04,2.764076753658704089e+00,2.696615847298617849e-04
2.910127100029371377e+03,1.289108045934942881e+00,2.297563559086011615e-04,2.762233628910596206e+00,3.146211619104018697e-04
2.922279535997108269e+03,1.290296108891486160e+00,2.682720377729308427e-04,2.760192215754759815e+00,2.960534007470199932e-04
2.934482719473416182e+03,1.291394659117636623e+00,2.619456619808140509e-04,2.758260150964201962e+00,2.611767035091528506e-04
2.946736862375446435e+03,1.292634188522098215e+00,2.375055453118083738e-04,2.756173106322784783e+00,3.057167376063957059e-04
2.959042177505300060e+03,1.293765814530170033e+00,1.999673642666705703e-04,2.754159051887091980e+00,2.900880782039013403e-04
2.971398878553719442e+03,1.294855039465708346e+00,2.312624959207732606e-04,2.752078373722957050e+00,3.155025017060011819e-04
2.983807180103801329e+03,1.295867625978279314e+00,2.048214118842105723e-04,2.750104648907232718e+00,3.378766007232244487e-04
2.996267297634723036e+03,1.297246461442230991e+00,2.068339325017170280e-04,2.747943126941033931e+00,3.239660585115907224e-04
3.008779447525486376e+03,1.298401289548059445e+00,2.268963747617495507e-04,2.745877270366496870e+00,2.815284906981755796e-04
3.021343847058663869e+03,1.299512937051348516e+00,1.991492389580462217e-04,2.743795076459967675e+00,2.930451515873206824e-04
3.033960714424191337e+03,1.300919713467280081e+00,2.380891737781471492e-04,2.741627612671124314e+00,3.088865106636939722e-04
3.046630268723141853e+03,1.302063035695953053e+00,2.680623915712137769e-04,2.739594022349700175e+00,2.576785638790154835e-04
3.059352729971536974e+03,1.303304997797486209e+00,1.888851082273195132e-04,2.737225119723272648e+00,3.454955000944155024e-04
3.072128319104164802e+03,1.304452324020532128e+00,2.018762898650175712e-04,2.735168177903358977e+00,2.845600641608847753e-04
3.084957257978418056e+03,1.305872559846830594e+00,2.401006875763687335e-04,2.733016371521381771e+00,2.812666598040253403e-04
3.097839769378147139e+03,1.307187669884134040e+00,1.346207024815037755e-04,2.730845037988975932e+00,2.323308894195482311e-04
3.110776077017530497e+03,1.308425158555251544e+00,2.908543876208842332e-04,2.728572117099035133e+00,3.378530049369484660e-04
3.123766405544948611e+03,1.309736318038582148e+00,1.639541877165610277e-04,2.726391602669313130e+00,3.259476878624543755e-04
3.136810980546903011e+03,1.310948572156991565e+00,2.906827560032124581e-04,2.724179935107089001e+00,3.795671455158959161e-04
3.149910028551922096e+03,1.312284967730074081e+00,1.833827340785525563e-04,2.721948954488397909e+00,2.495275487705738890e-04
3.163063777034496525e+03,1.313716569581915294e+00,2.610207279355165433e-04,2.719602795204606238e+00,3.604240504888426297e-04
3.176272454419031419e+03,1.314928905820631488e+00,1.456413859577230672e-04,2.717251464052208298e+00,3.355632540846296237e-04
3.189536290083812219e+03,1.316416433717821244e+00,2.760803080862690609e-04,2.714976112636676930e+00,3.179305508390685452e-04
3.202855514364987812e+03,1.317765747392870557e+00,2.970199985975050167e-04,2.712644249107559524e+00,3.722480711648630015e-04
3.216230358560569584e+03,1.319076570829254447e+00,2.870059932470818117e-04,2.710311312926453109e+00,2.719216716608428841e-04
3.229661054934451386e+03,1.320431244460640974e+00,3.018472695701063615e-04,2.708015820623981718e+00,2.267440811673335655e-04
3.243147836720442683e+03,1.321873738030620027e+00,2.802039081548420994e-04,2.705628651634572002e+00,3.064219898717827667e-04
3.256690938126306264e+03,1.323133447052462275e+00,1.467608424699258908e-04,2.703224545766341524e+00,2.789346598561052992e-04
3.270290594337847779e+03,1.324764810122212921e+00,2.643078386030837056e-04,2.700740198750974930e+00,3.569828257699660698e-04
3.283947041522983909e+03,1.326098013916812146e+00,1.384234173354662197e-04,2.698329714350257369e+00,2.754019428464505323e-04
3.297660516835847375e+03,1.327612585378942001e+00,2.328470172922689641e-04,2.695862949625546179e+00,3.483857310403957997e-04
3.311431258420906488e+03,1.329013758273772439e+00,2.250189849623301550e-04,2.693425236201938411e+00,3.202054142808154918e-04
3.325259505417100627e+03,1.330544137963066031e+00,1.567258586436410259e-04,2.690865936531575464e+00,2.945325330946529669e-04
3.339145497961990714e+03,1.332018093434915729e+00,2.444176022091934563e-04,2.688371618202352487e+00,2.607540884956635195e-04
3.353089477195932432e+03,1.333504030598523737e+00,1.869041700505237635e-04,2.685884528327391330e+00,2.891409215850220134e-04
3.367091685266265358e+03,1.335071782604113411e+00,1.304244782024986465e-04,2.683239417648358938e+00,2.137790851261272716e-04
3.381152365331505735e+03,1.336413692807675080e+00,1.999541404521309811e-04,2.680768458662909914e+00,2.903564327922955146e-04
3.395271761565587440e+03,1.338024614538119605e+00,2.220833823774888112e-04,2.678239391941022340e+00,2.565866613112190555e-04
3.409450119162091141e+03,1.339616251066355179e+00,2.074024054635846949e-04,2.675569427055809690e+00,4.243730096645387793e-04
3.423687684338503004e+03,1.341181199622715869e+00,2.876030296328828352e-04,2.672909787568491069e+00,3.478988092199781579e-04
3.437984704340493408e+03,1.342738598584270582e+00,2.543814626140481188e-04,2.670288373429565265e+00,2.443454965312890454e-04
3.452341427446207945e+03,1.344315371877951026e+00,1.956164832315757042e-04,2.667624622461731931e+00,3.609321596914326098e-04
3.466758102970580239e+03,1.345998826130927917e+00,1.403034218713432671e-04,2.664813977367866737e+00,2.917123514838176521e-04
3.481234981269661603e+03,1.347620373035522956e+00,2.752466132482911648e-04,2.662143370918071739e+00,3.460108061098008205e-04
3.495772313744967960e+03,1.349141550452144012e+00,3.004362161923358515e-04,2.659441838114587231e+00,3.541134467523962830e-04
3.510370352847849517e+03,1.350696697604749419e+00,2.505917803247671369e-04,2.656679924714005381e+00,3.698275100131487737e-04
3.525029352083860886e+03,1.352496996816090036e+00,2.037843103079276679e-04,2.653831239822177057e+00,2.382430467052001888e-04
3.539749566017183952e+03,1.354215597930127357e+00,1.283616009717303741e-04,2.651073957152582317e+00,2.743200496197414646e-04
3.554531250275034381e+03,1.355824792113349719e+00,2.000488306355522358e-04,2.648339405623402421e+00,3.897027670068111630e-04
3.569374661552106318e+03,1.357620125163939928e+00,2.239741356809101045e-04,2.645418478253295902e+00,2.916607334007861288e-04
3.584280057615026635e+03,1.359138464055487550e+00,2.530428492860325399e-04,2.642613265540990852e+00,3.282112208713657041e-04
3.599247697306833743e+03,1.360957307839066655e+00,1.757898547704161030e-04,2.639606717930230495e+00,3.565757880118983355e-04
