time,acc_x,acc_y,acc_z
3.775329911295858096e+02,-6.350093240199978482e+02,2.850977584796212341e+02,1.712282331885971507e+04
3.775411566707100519e+02,-2.607941304555583883e+02,3.451910551402886540e+02,1.711852606575031677e+04
3.775493222118342942e+02,6.907244219754169023e+01,3.441145083843044290e+02,1.710841986407578224e+04
3.775574877529585933e+02,3.907394998348195827e+02,2.628433513388055758e+02,1.710506959742149775e+04
3.775656532940828356e+02,6.992112623621002285e+02,1.663045982521702797e+02,1.714412505711861013e+04
3.775738188352070779e+02,9.565816170489736123e+02,-1.148175761265281380e+01,1.715911739900527027e+04
3.775819843763313770e+02,1.225033684987543893e+03,-2.621335806505802566e+02,1.719189998840700355e+04
3.775901499174556193e+02,1.520795591928855401e+03,-4.827342023422937700e+02,1.718210681360237140e+04
3.775983154585798616e+02,1.803265427894182949e+03,-7.635325337360587810e+02,1.722017028152622879e+04
3.776064809997041039e+02,1.956906380824833604e+03,-1.030056341244437363e+03,1.726245319041241601e+04
3.776146465408284030e+02,2.031960427132390578e+03,-1.270421482386654588e+03,1.726681721106274927e+04
3.776228120819526453e+02,1.932420897327849616e+03,-1.453684394067086714e+03,1.727543853531097193e+04
3.776309776230768875e+02,1.735925712265609491e+03,-1.542217208136543832e+03,1.729920545518821382e+04
3.776391431642011867e+02,1.451688872475574271e+03,-1.668314181904974475e+03,1.725750855758733087e+04
3.776473087053254289e+02,1.161485957443040661e+03,-1.688168130551063314e+03,1.725259086965466486e+04
3.776554742464496712e+02,8.520592837213985149e+02,-1.672424336877043061e+03,1.724804056146173752e+04
3.776636397875739704e+02,5.072804582331897336e+02,-1.612646950527629997e+03,1.721933019667485132e+04
3.776718053286982126e+02,1.375914641083566892e+02,-1.463243625573570625e+03,1.719648309317053281e+04
3.776799708698224549e+02,-2.403882853704755576e+02,-1.381104392986071616e+03,1.716125371640930825e+04
3.776881364109467540e+02,-6.647268645450294571e+02,-1.216123074439218044e+03,1.717794098413590473e+04
3.776963019520709963e+02,-1.009676915986042786e+03,-1.080730237785494865e+03,1.721347616083043977e+04
3.777044674931952386e+02,-1.365960446807987864e+03,-1.015431814402835812e+03,1.721171212373144226e+04
3.777126330343195377e+02,-1.518908021170305801e+03,-9.547401451253898585e+02,1.716846715041796779e+04
3.777207985754437800e+02,-1.480395774774135361e+03,-9.509374939421519457e+02,1.717693749394215047e+04
3.777289641165680223e+02,-1.332987139046960692e+03,-1.011083964780309088e+03,1.719632148269545360e+04
3.777371296576923214e+02,-1.120812224971670503e+03,-1.087978618983101114e+03,1.720084274512243064e+04
3.777452951988165637e+02,-7.848518482701805397e+02,-1.255117819931507938e+03,1.721869203790294341e+04
3.777534607399408060e+02,-3.904060050016562400e+02,-1.421206328109375590e+03,1.730774507102367352e+04
3.777616262810651051e+02,1.307314503417035212e+01,-1.611006640841131002e+03,1.724353437486699477e+04
3.777697918221893474e+02,4.789917679850208287e+02,-1.761601251161361461e+03,1.728545867633395756e+04
3.777779573633135897e+02,9.629841131134337502e+02,-1.966842850901045040e+03,1.733765407180852708e+04
3.777861229044378319e+02,1.433189449188375193e+03,-2.095790463341102168e+03,1.733594981392103000e+04
3.777942884455621311e+02,1.728387145610912285e+03,-2.108230463348418198e+03,1.733381894018099774e+04
3.778024539866863734e+02,2.002957049540287699e+03,-2.117553719848566743e+03,1.734267603385613984e+04
3.778106195278106156e+02,2.277526953469663113e+03,-2.126876976348715289e+03,1.735153312753127830e+04
3.778187850689349148e+02,2.552096857400950285e+03,-2.136200232848928863e+03,1.736039022120648224e+04
3.778269506100591570e+02,2.609862077675160890e+03,-2.066527105416289942e+03,1.736400000000000000e+04
3.778351161511833993e+02,2.439411000904712182e+03,-1.895976383568782694e+03,1.737623791422506474e+04
3.778432816923076984e+02,2.215828021757995430e+03,-1.725294385199060343e+03,1.733019625679937235e+04
3.778514472334319407e+02,1.892207151686468251e+03,-1.573273953734808629e+03,1.730640497086348842e+04
3.778596127745561830e+02,1.656395151217153398e+03,-1.447982995261053929e+03,1.729805151949451101e+04
3.778677783156804821e+02,1.289260829322938889e+03,-1.293253757112040148e+03,1.726200000000000000e+04
3.778759438568047244e+02,7.944229696937774179e+02,-1.151036967766128782e+03,1.728167198340115283e+04
3.778841093979289667e+02,3.089702031713217139e+02,-1.010936696440079913e+03,1.726526644420707453e+04
3.778922749390532658e+02,-1.993513818727210207e+02,-9.513210933445055844e+02,1.716971723448154444e+04
3.779004404801775081e+02,-6.522598344999184974e+02,-9.153937008972613967e+02,1.726051574775684639e+04
3.779086060213017504e+02,-1.061237411016530359e+03,-9.639289761088449495e+02,1.721761120429154107e+04
3.779167715624260495e+02,-1.311287543102252585e+03,-9.693603119870155069e+02,1.719710933702759212e+04
3.779249371035502918e+02,-1.362745037316176649e+03,-1.053029001884191985e+03,1.719690687033547874e+04
3.779331026446745341e+02,-1.289883325765623795e+03,-1.212749520265167121e+03,1.722074191410179264e+04
3.779412681857988332e+02,-1.120624173459566919e+03,-1.322393093297266660e+03,1.725743585597836136e+04
3.779494337269230755e+02,-7.766957095861968128e+02,-1.443743289983387285e+03,1.721306547377482275e+04
3.779575992680473178e+02,-4.789692861093869283e+02,-1.553171120854806986e+03,1.720214838448773662e+04
3.779657648091715600e+02,-1.012577463972240537e+02,-1.575048569773339068e+03,1.728000000000000000e+04
3.779739303502958592e+02,3.096136580386730657e+02,-1.596019592924938024e+03,1.727213715047456571e+04
3.779820958914201015e+02,7.840305843156158971e+02,-1.534816729940784398e+03,1.727160332789499444e+04
3.779902614325443437e+02,1.259460798332499962e+03,-1.424934689630246112e+03,1.722373392419535594e+04
3.779984269736686429e+02,1.733687028601513248e+03,-1.286214197518013179e+03,1.725350388127378392e+04
3.780065925147928851e+02,2.067409286971971596e+03,-1.082481197672060944e+03,1.727071017507830038e+04
3.780147580559171274e+02,2.287365722577058023e+03,-8.846131348421773737e+02,1.722296828612885292e+04
3.780229235970414265e+02,2.423747163452664608e+03,-6.094975472871633428e+02,1.717193192286395424e+04
3.780310891381656688e+02,2.362870574041696727e+03,-3.281604524477139648e+02,1.713758069563567915e+04
3.780392546792899111e+02,2.224450974351800141e+03,-1.030253888129509789e+02,1.720623593778992654e+04
