# freq1	PSD1	freq2	PSD2
4.882812499999999091e+03	4.910994321106469489e-08	4.882812499999999091e+03	1.115608552480698853e-10
4.907226562499999091e+03	8.880102894152888042e-08	4.907226562499999091e+03	1.200018680169228664e-10
4.931640624999999091e+03	1.788188935745361387e-07	4.931640624999999091e+03	1.015739065561723952e-11
4.956054687499999091e+03	4.787166854601184944e-07	4.956054687499999091e+03	1.716413322032261608e-10
4.980468749999999091e+03	2.579923102769028213e-06	4.980468749999999091e+03	7.131748860731345737e-10
5.004882812499999091e+03	4.363588914780404073e-05	5.004882812499999091e+03	4.593685791621123192e-09
5.029296874999999091e+03	1.282508394183292171e-06	5.029296874999999091e+03	1.470475510861184073e-10
5.053710937499999091e+03	4.045648242357604441e-07	5.053710937499999091e+03	1.747081936353667802e-10
5.078124999999999091e+03	1.991105950495795667e-07	5.078124999999999091e+03	1.349737645111893485e-10
5.102539062499999091e+03	1.253573983623375238e-07	5.102539062499999091e+03	1.594797583872341645e-10
5.126953124999999091e+03	8.308081854794638401e-08	5.126953124999999091e+03	3.546804526358272534e-10
5.151367187499999091e+03	6.169885302187950780e-08	5.151367187499999091e+03	2.509086195668489798e-11
5.175781249999999091e+03	5.012651961992612105e-08	5.175781249999999091e+03	3.104657145249504359e-11
5.200195312499999091e+03	3.686632253374691024e-08	5.200195312499999091e+03	4.427625515323559232e-12
5.224609374999999091e+03	3.093667530224956573e-08	5.224609374999999091e+03	1.443144308713138473e-11
5.249023437499999091e+03	2.639345874057967343e-08	5.249023437499999091e+03	2.736109152217298643e-11
5.273437499999999091e+03	2.398186883896488586e-08	5.273437499999999091e+03	1.461931483482744669e-10
5.297851562499999091e+03	1.771514269484622569e-08	5.297851562499999091e+03	5.581679367297046612e-11
5.322265624999999091e+03	1.949561889745901427e-08	5.322265624999999091e+03	3.283109391936433635e-11
5.346679687499999091e+03	1.725713295371264348e-08	5.346679687499999091e+03	3.847649497701210655e-11
5.371093749999999091e+03	1.469261767566393792e-08	5.371093749999999091e+03	3.131874819824756232e-11
5.395507812499999091e+03	1.265493424941516300e-08	5.395507812499999091e+03	1.635068679062059847e-11
5.419921874999999091e+03	1.241482279352676619e-08	5.419921874999999091e+03	9.867628150023123669e-12
5.444335937499999091e+03	1.091000614702460576e-08	5.444335937499999091e+03	1.741670619962038048e-11
5.468749999999999091e+03	9.408740886889668913e-09	5.468749999999999091e+03	2.865733007479551703e-11
5.493164062499999091e+03	1.031114334230043645e-08	5.493164062499999091e+03	1.526555571759329412e-11
5.517578124999999091e+03	9.218053622855020941e-09	5.517578124999999091e+03	6.055959508709012368e-12
5.541992187499999091e+03	8.506506365271961334e-09	5.541992187499999091e+03	6.811504409956787292e-13
5.566406249999999091e+03	7.053973660658658652e-09	5.566406249999999091e+03	1.019435161387755868e-10
5.590820312499999091e+03	6.446562388327049767e-09	5.590820312499999091e+03	2.458439506934793518e-11
5.615234374999999091e+03	6.079653455640307252e-09	5.615234374999999091e+03	5.281331182152311866e-11
5.639648437499999091e+03	5.689980295949104969e-09	5.639648437499999091e+03	1.105075745653412265e-10
5.664062499999999091e+03	6.875390673112146763e-09	5.664062499999999091e+03	1.404798815544690794e-11
5.688476562499999091e+03	7.407493379241350670e-09	5.688476562499999091e+03	2.078997641623465239e-12
5.712890624999999091e+03	5.942779599320953273e-09	5.712890624999999091e+03	7.851549544993175742e-11
5.737304687499999091e+03	6.226990923362716855e-09	5.737304687499999091e+03	2.271618492494986577e-11
5.761718749999999091e+03	4.023573602572484456e-09	5.761718749999999091e+03	1.470008229163772485e-11
5.786132812499999091e+03	3.520283216361920327e-09	5.786132812499999091e+03	1.658785819019440930e-11
5.810546874999999091e+03	4.436853841558592095e-09	5.810546874999999091e+03	2.504510185407171562e-12
5.834960937499999091e+03	4.288736734059927692e-09	5.834960937499999091e+03	1.614487678078488148e-11
5.859374999999999091e+03	4.277250470174532747e-09	5.859374999999999091e+03	1.067670119241219249e-11
5.883789062499999091e+03	3.824188897898823794e-09	5.883789062499999091e+03	8.718739928350903636e-13
5.908203124999999091e+03	3.855114474254743477e-09	5.908203124999999091e+03	3.982892722482011085e-11
5.932617187499999091e+03	3.394379502525997278e-09	5.932617187499999091e+03	2.411144032969985756e-11
5.957031249999999091e+03	3.943096338816337209e-09	5.957031249999999091e+03	9.379033867010685432e-11
5.981445312499999091e+03	4.137024504955179589e-09	5.981445312499999091e+03	5.496293518968715612e-11
6.005859374999999091e+03	1.520551178688647383e-09	6.005859374999999091e+03	1.163798317064973364e-09
6.030273437499999091e+03	1.993997979841299648e-09	6.030273437499999091e+03	3.791282720441028643e-11
6.054687499999999091e+03	3.034114870071922901e-09	6.054687499999999091e+03	1.087905963938007580e-11
6.079101562499999091e+03	2.175838620197196404e-09	6.079101562499999091e+03	3.157222211199066207e-11
6.103515624999999091e+03	2.311798838080431044e-09	6.103515624999999091e+03	3.405274762811258383e-11
6.127929687499999091e+03	1.435456002510433696e-09	6.127929687499999091e+03	6.107406857725129732e-11
6.152343749999999091e+03	2.287506344345257849e-09	6.152343749999999091e+03	9.179916308827491571e-11
6.176757812499999091e+03	2.216747309588304384e-09	6.176757812499999091e+03	9.716808993589906803e-11
6.201171874999999091e+03	1.790317004418049150e-09	6.201171874999999091e+03	1.597988485735523743e-11
6.225585937499999091e+03	1.155353021882720933e-09	6.225585937499999091e+03	8.766130301429613365e-12
6.249999999999999091e+03	1.696182562819135192e-09	6.249999999999999091e+03	1.469469257839548769e-11
6.274414062499999091e+03	1.527406111320603818e-09	6.274414062499999091e+03	3.903076801930646392e-11
6.298828124999999091e+03	1.789508913294086172e-09	6.298828124999999091e+03	2.131239400694211421e-11
6.323242187499999091e+03	8.169177688480774815e-10	6.323242187499999091e+03	2.552688974885362536e-11
6.347656249999999091e+03	1.308837946723973899e-09	6.347656249999999091e+03	8.778913675106420241e-12
6.372070312499999091e+03	1.322761963377248713e-09	6.372070312499999091e+03	8.049923472461968432e-12
6.396484374999999091e+03	1.752126652735678393e-09	6.396484374999999091e+03	1.038894640575333101e-10
6.420898437499999091e+03	1.039054915032415471e-09	6.420898437499999091e+03	5.208322677463720553e-11
6.445312499999999091e+03	1.165703015450679954e-09	6.445312499999999091e+03	9.285283362921072207e-12
6.469726562499999091e+03	1.459573291852988725e-09	6.469726562499999091e+03	7.784486861818662446e-11
6.494140624999999091e+03	1.168445292732189496e-09	6.494140624999999091e+03	2.687103330692936827e-11
6.518554687499999091e+03	1.032685067547715787e-09	6.518554687499999091e+03	2.313583271293510986e-11
6.542968749999999091e+03	7.794913699249199860e-10	6.542968749999999091e+03	6.295255272206185844e-12
6.567382812499999091e+03	9.960601545253831404e-10	6.567382812499999091e+03	1.871745374132849411e-11
6.591796874999999091e+03	1.236625238324487965e-09	6.591796874999999091e+03	2.254676891514712684e-12
6.616210937499999091e+03	1.540013596117192129e-09	6.616210937499999091e+03	1.284992294492795144e-10
6.640624999999999091e+03	2.188309505011033382e-09	6.640624999999999091e+03	7.001196559153881767e-11
6.665039062499999091e+03	2.045305023896914027e-09	6.665039062499999091e+03	3.877998805766979829e-11
6.689453124999999091e+03	2.076817449286822126e-09	6.689453124999999091e+03	1.597076776763852123e-11
6.713867187499999091e+03	1.854640443854425715e-09	6.713867187499999091e+03	3.333299057277002896e-12
6.738281249999999091e+03	3.549136711613629647e-09	6.738281249999999091e+03	5.963909493538911758e-11
6.762695312499999091e+03	3.724200016140934548e-09	6.762695312499999091e+03	6.435964629320021731e-11
6.787109374999999091e+03	5.083922907523647370e-09	6.787109374999999091e+03	6.186919743103272503e-11
6.811523437499999091e+03	7.917096839442332486e-09	6.811523437499999091e+03	6.697848346545624410e-11
6.835937499999999091e+03	7.854680998863398334e-09	6.835937499999999091e+03	6.918879597057257018e-11
6.860351562499999091e+03	1.465708223304971175e-08	6.860351562499999091e+03	1.343263533193484086e-11
6.884765624999999091e+03	2.513745539259560023e-08	6.884765624999999091e+03	1.242276165455951107e-10
6.909179687499999091e+03	4.132760578666473146e-08	6.909179687499999091e+03	3.818355669524718725e-11
6.933593749999999091e+03	8.252275864476138627e-08	6.933593749999999091e+03	9.122868926038013993e-12
6.958007812499999091e+03	2.277847051171811715e-07	6.958007812499999091e+03	2.761170153775143953e-11
6.982421874999999091e+03	1.427242527196087567e-06	6.982421874999999091e+03	4.241483673597030804e-10
7.006835937499999091e+03	1.021590823542495072e-05	7.006835937499999091e+03	2.293970300970130846e-09
7.031249999999999091e+03	5.362578473722758880e-07	7.031249999999999091e+03	8.059165873088762926e-11
7.055664062499999091e+03	1.756780041251060329e-07	7.055664062499999091e+03	9.388991405602342790e-12
