Frequency[Hz], Hx, sHx, Hy, sHy, PhaseX[rad], sPhaseX, PhaseY[rad], sPhaseY
1.760000000000000009e+00,1.507636230106735448e-03,5.739405777921217516e-06,4.469038031836602975e-02,5.543204943471744375e-06,-2.712826250405034223e+00,7.761918783840635223e-03,-2.698618686155741742e+00,2.528711350884185857e-04
1.780000000000000027e+00,9.183132269303239531e-04,5.605594440775394616e-06,2.780688722765597976e-02,5.413210507016439431e-06,-2.655096192694086810e+00,1.256798621626673690e-02,-2.628786358354266994e+00,4.008991345016002040e-04
1.800000000000000044e+00,6.086837276212295981e-04,5.489207604014712910e-06,1.884686247500606815e-02,5.301508385159843807e-06,-3.007817910434100739e+00,1.810870675934029769e-02,-2.966257430097254844e+00,5.647076520992738973e-04
1.800000000000000044e+00,5.961774504906194525e-04,5.483583180556525078e-06,1.851098435388984914e-02,5.295123345526772974e-06,-2.821959789614082226e+00,1.859642565940946429e-02,-2.758200623659767814e+00,5.786433466874137989e-04
1.820000000000000062e+00,4.274064628239678107e-04,5.364741208004668047e-06,1.377291559294681680e-02,5.181141499620123954e-06,-3.014866307823981906e+00,2.557528131705976218e-02,-2.997222820398379284e+00,7.664143407183548811e-04
1.840000000000000080e+00,3.442256922181276312e-04,5.245122222188321166e-06,1.100822118465588119e-02,5.065822362680009346e-06,-3.058696685160309237e+00,3.069238854878851563e-02,-3.015970990635724824e+00,9.266231473431265318e-04
1.860000000000000320e+00,2.657814448187205761e-04,5.139970736347059531e-06,9.057568036133339592e-03,4.963958892537241439e-06,-3.011111038017201480e+00,3.938647329841737932e-02,-3.071464342039067930e+00,1.116161947299184254e-03
1.879999999999999893e+00,2.256168080561767291e-04,5.019859949297869598e-06,7.698661712790994503e-03,4.848058490471916986e-06,-3.061942911689447211e+00,4.542722450904847914e-02,-3.071559584047868441e+00,1.285672669486675156e-03
1.899999999999999911e+00,2.117899477759250311e-04,4.917513472493267613e-06,6.745945395854818262e-03,4.748939457460821341e-06,-3.125415827996954388e+00,4.713250014837560425e-02,-3.084106836535955409e+00,1.429336643780152252e-03
1.899999999999999911e+00,1.979502723508784630e-04,4.920159301626579479e-06,6.827105595962291648e-03,4.751906747893027045e-06,-3.033123790194585112e+00,5.020205344013833199e-02,-3.081548905432617502e+00,1.405479969024154814e-03
1.919999999999999929e+00,1.823353592027250408e-04,4.820775652704126475e-06,5.973979203194075202e-03,4.654793161425442585e-06,-3.164412014995241051e+00,5.356777584776122730e-02,-3.099757486988098165e+00,1.579655773714816729e-03
1.939999999999999947e+00,1.478078953564777507e-04,4.714171026395893289e-06,5.374626561217005563e-03,4.553839704504328874e-06,-3.306367672326635088e+00,6.515009459137917347e-02,-3.096864669207739951e+00,1.729346014202993260e-03
1.959999999999999964e+00,1.365302141515670805e-04,4.627806178647470441e-06,4.936276494334707575e-03,4.469749369915914089e-06,-3.095090104295630695e+00,6.916463510833918693e-02,-3.107156844659648698e+00,1.847228619016548327e-03
1.980000000000000204e+00,1.260469054631552655e-04,4.535159517613909795e-06,4.521910442891949322e-03,4.380004957256592195e-06,-3.108423980558864042e+00,7.228267859082930513e-02,-3.115509589693069348e+00,1.945822184475328072e-03
2.000000000000000000e+00,1.229476705476906565e-04,4.441010478615243673e-06,4.198789479160521670e-03,4.289134405523356583e-06,-3.034866177548967592e+00,7.410435287743094568e-02,-3.115386574908391992e+00,2.094893654385864088e-03
2.000000000000000000e+00,1.167716196283752041e-04,4.441157398311236939e-06,4.205557573266416500e-03,4.289130839558540195e-06,-3.098149477126110440e+00,7.746343187907749062e-02,-3.110947162314602110e+00,2.077210606079548869e-03
2.020000000000000018e+00,1.156332300220321111e-04,4.358011275068769716e-06,3.930242172839091587e-03,4.208364572961478997e-06,-3.136627616468792290e+00,7.594246605710143483e-02,-3.122902223702340052e+00,2.158098359170637463e-03
2.040000000000000036e+00,9.836966563599897648e-05,4.266094230155364628e-06,3.680746600643745176e-03,4.119212535510242200e-06,-3.041584640221866920e+00,8.732657730579887478e-02,-3.126432944356221544e+00,2.254955186246929231e-03
2.060000000000000053e+00,9.480472975998054878e-05,4.182779238556318818e-06,3.479889347574892811e-03,4.039002806910281755e-06,-3.123591651692018800e+00,9.074280188700931116e-02,-3.129071871879562039e+00,2.387786611657557751e-03
2.080000000000000071e+00,8.695003167994642588e-05,4.105826595295383844e-06,3.306412798311196555e-03,3.965158979594026873e-06,-3.270799204205180999e+00,9.690437643474768270e-02,-3.133213794647611294e+00,2.461997606789474626e-03
2.100000000000000089e+00,8.998541623224948628e-05,4.027257252460333511e-06,3.143323648635676371e-03,3.887762581203847762e-06,-2.833641311654318873e+00,8.997785462652417576e-02,-3.132639451934731589e+00,2.491306047428269201e-03
2.100000000000000089e+00,7.761965452354434845e-05,4.025354268547092811e-06,3.148934156592247350e-03,3.887445804082423894e-06,-3.113991992109029994e+00,1.044572441700805376e-01,-3.136640462053017053e+00,2.486828080359592200e-03
2.120000000000000107e+00,8.579123680326458440e-05,3.955627244534519314e-06,3.005654838707215188e-03,3.820910234891710317e-06,-3.042199458654121447e+00,9.291339309232095334e-02,-3.140228330007996060e+00,2.560011471726094008e-03
2.140000000000000124e+00,7.563826440447544270e-05,3.882784424491164494e-06,2.876103405674714820e-03,3.749920620464049253e-06,-2.962498589976914509e+00,1.041893700369925235e-01,-3.139764262725540434e+00,2.647102992278971365e-03
2.160000000000000142e+00,7.681004974177701354e-05,3.808457707424847630e-06,2.762243206502736081e-03,3.678042560235837683e-06,-2.956654141304472017e+00,9.964678032454317436e-02,-3.146165472272501873e+00,2.677205991689245255e-03
2.180000000000000160e+00,6.789948441758083153e-05,3.739984805975547349e-06,2.666579763662622806e-03,3.611883775291180496e-06,-3.087936245622818099e+00,1.121244539439880117e-01,-3.145180599930990972e+00,2.757020730206173088e-03
2.200000000000000178e+00,7.576664119009633084e-05,3.668307197238509920e-06,2.571805714024172178e-03,3.543218680839739797e-06,-3.131890954239605840e+00,9.931730288222759273e-02,-3.142193342844173287e+00,2.825188211328281442e-03
2.200000000000000178e+00,6.705481203961962723e-05,3.666396296083903555e-06,2.578262079656848393e-03,3.540765935471160210e-06,-3.094797824558901400e+00,1.113522644495085895e-01,-3.148614248674197924e+00,2.797076376535599478e-03
2.220000000000000195e+00,7.792560694634265552e-05,3.601372026134880155e-06,2.487299351161131097e-03,3.479473007576698481e-06,-2.822494105230000105e+00,9.371176866821730178e-02,-3.145258373379826722e+00,2.831288801301134767e-03
2.240000000000000213e+00,7.102750744212205005e-05,3.538761967188361598e-06,2.408697616648241592e-03,3.418193996916246949e-06,-3.032545032919339079e+00,1.007769077986464673e-01,-3.146865715422649146e+00,2.868296504346073798e-03
2.259999999999999787e+00,6.219550587186402108e-05,3.477662959386807509e-06,2.337890728166011449e-03,3.359242199379886057e-06,-2.885902041297957243e+00,1.134458775013077320e-01,-3.146180327718496095e+00,2.913220408825418616e-03
